run,recall,precision,f1,fa24h,n_gt,n_true,n_alert,tau_high,tau_low
r2_recallpush_b_cfp10_mth0.30,1.0,1.0,1.0,0.0,5,5,5,0.3799999952316284,0.2964000105857849
r2_recallpush_b_cfp10_mth0.35,1.0,1.0,1.0,0.0,5,5,5,0.3799999952316284,0.2964000105857849
r2_recallpush_b_cfp20_mth0.30,1.0,1.0,1.0,0.0,5,5,5,0.3799999952316284,0.2964000105857849
r2_recallpush_b_cfp20_mth0.35,1.0,1.0,1.0,0.0,5,5,5,0.3799999952316284,0.2964000105857849
r2_recallpush_b_cfp30_mth0.30,1.0,1.0,1.0,0.0,5,5,5,0.3799999952316284,0.2964000105857849
r2_recallpush_b_cfp30_mth0.35,1.0,1.0,1.0,0.0,5,5,5,0.3799999952316284,0.2964000105857849
r2_recallpush_b_cfp40_mth0.30,1.0,1.0,1.0,0.0,5,5,5,0.3799999952316284,0.2964000105857849
r2_recallpush_b_cfp40_mth0.35,1.0,1.0,1.0,0.0,5,5,5,0.3799999952316284,0.2964000105857849
r1_recovery_cfp10_mth0.35,0.8,1.0,0.888888888888889,0.0,5,4,4,0.41999998688697815,0.32760000228881836
r1_recovery_cfp10_mth0.40,0.8,1.0,0.888888888888889,0.0,5,4,4,0.41999998688697815,0.32760000228881836
r1_recovery_cfp20_mth0.35,0.8,1.0,0.888888888888889,0.0,5,4,4,0.41999998688697815,0.32760000228881836
r1_recovery_cfp20_mth0.40,0.8,1.0,0.888888888888889,0.0,5,4,4,0.41999998688697815,0.32760000228881836
r1_recovery_cfp30_mth0.35,0.8,1.0,0.888888888888889,0.0,5,4,4,0.41999998688697815,0.32760000228881836
r1_recovery_cfp30_mth0.40,0.8,1.0,0.888888888888889,0.0,5,4,4,0.41999998688697815,0.32760000228881836
r1_recovery_cfp40_mth0.35,0.8,1.0,0.888888888888889,0.0,5,4,4,0.41999998688697815,0.32760000228881836
r1_recovery_cfp40_mth0.40,0.8,1.0,0.888888888888889,0.0,5,4,4,0.41999998688697815,0.32760000228881836
baseline_cfp10_mth0.30,0.8,1.0,0.888888888888889,0.0,5,4,4,0.4099999666213989,0.3197999596595764
baseline_cfp10_mth0.35,0.8,1.0,0.888888888888889,0.0,5,4,4,0.4099999666213989,0.3197999596595764
baseline_cfp10_mth0.40,0.8,1.0,0.888888888888889,0.0,5,4,4,0.4099999666213989,0.3197999596595764
baseline_cfp20_mth0.30,0.8,1.0,0.888888888888889,0.0,5,4,4,0.4099999666213989,0.3197999596595764
baseline_cfp20_mth0.35,0.8,1.0,0.888888888888889,0.0,5,4,4,0.4099999666213989,0.3197999596595764
baseline_cfp20_mth0.40,0.8,1.0,0.888888888888889,0.0,5,4,4,0.4099999666213989,0.3197999596595764
baseline_cfp30_mth0.30,0.8,1.0,0.888888888888889,0.0,5,4,4,0.4099999666213989,0.3197999596595764
baseline_cfp30_mth0.35,0.8,1.0,0.888888888888889,0.0,5,4,4,0.4099999666213989,0.3197999596595764
baseline_cfp30_mth0.40,0.8,1.0,0.888888888888889,0.0,5,4,4,0.4099999666213989,0.3197999596595764
baseline_cfp40_mth0.30,0.8,1.0,0.888888888888889,0.0,5,4,4,0.4099999666213989,0.3197999596595764
baseline_cfp40_mth0.35,0.8,1.0,0.888888888888889,0.0,5,4,4,0.4099999666213989,0.3197999596595764
baseline_cfp40_mth0.40,0.8,1.0,0.888888888888889,0.0,5,4,4,0.4099999666213989,0.3197999596595764
r2_recallpush_b_cfp10_mth0.40,0.2,1.0,0.33333333333333337,0.0,5,1,1,0.5899999737739563,0.4601999819278717
r2_recallpush_b_cfp10_mth0.45,0.2,1.0,0.33333333333333337,0.0,5,1,1,0.5899999737739563,0.4601999819278717
r2_recallpush_b_cfp20_mth0.40,0.2,1.0,0.33333333333333337,0.0,5,1,1,0.5899999737739563,0.4601999819278717
r2_recallpush_b_cfp20_mth0.45,0.2,1.0,0.33333333333333337,0.0,5,1,1,0.5899999737739563,0.4601999819278717
r2_recallpush_b_cfp30_mth0.40,0.2,1.0,0.33333333333333337,0.0,5,1,1,0.5899999737739563,0.4601999819278717
r2_recallpush_b_cfp30_mth0.45,0.2,1.0,0.33333333333333337,0.0,5,1,1,0.5899999737739563,0.4601999819278717
r2_recallpush_b_cfp40_mth0.40,0.2,1.0,0.33333333333333337,0.0,5,1,1,0.5899999737739563,0.4601999819278717
r2_recallpush_b_cfp40_mth0.45,0.2,1.0,0.33333333333333337,0.0,5,1,1,0.5899999737739563,0.4601999819278717
r1_recovery_cfp10_mth0.45,0.2,1.0,0.33333333333333337,0.0,5,1,1,0.5399999618530273,0.4211999773979187
r1_recovery_cfp20_mth0.45,0.2,1.0,0.33333333333333337,0.0,5,1,1,0.5399999618530273,0.4211999773979187
r1_recovery_cfp30_mth0.45,0.2,1.0,0.33333333333333337,0.0,5,1,1,0.5399999618530273,0.4211999773979187
r1_recovery_cfp40_mth0.45,0.2,1.0,0.33333333333333337,0.0,5,1,1,0.5399999618530273,0.4211999773979187
baseline_cfp10_mth0.45,0.0,0.0,0.0,0.0,5,0,0,0.6299999952316284,0.49140000343322754
baseline_cfp20_mth0.45,0.0,0.0,0.0,0.0,5,0,0,0.6299999952316284,0.49140000343322754
baseline_cfp30_mth0.45,0.0,0.0,0.0,0.0,5,0,0,0.6299999952316284,0.49140000343322754
baseline_cfp40_mth0.45,0.0,0.0,0.0,0.0,5,0,0,0.6299999952316284,0.49140000343322754
r1_recovery_cfp10_mth0.30,1.0,0.625,0.7692307692307693,2822.7272727272734,5,5,8,0.3199999928474426,0.24959999322891235
r1_recovery_cfp20_mth0.30,1.0,0.625,0.7692307692307693,2822.7272727272734,5,5,8,0.3199999928474426,0.24959999322891235
r1_recovery_cfp30_mth0.30,1.0,0.625,0.7692307692307693,2822.7272727272734,5,5,8,0.3199999928474426,0.24959999322891235
r1_recovery_cfp40_mth0.30,1.0,0.625,0.7692307692307693,2822.7272727272734,5,5,8,0.3199999928474426,0.24959999322891235
