file,arch,dataset,seed,op,ap,f1,recall,precision,fa24h,tau_high,tau_low
outputs/metrics/gcn_caucafall_stb_s1337.json,gcn,caucafall,1337,op1,0.9753241022148438,0.5714285714285715,0.4,1.0,0.0,0.7399999499320984,0.5771999359130859
outputs/metrics/gcn_caucafall_stb_s1337.json,gcn,caucafall,1337,op2,0.9753241022148438,0.5714285714285715,0.4,1.0,0.0,0.7399999499320984,0.5771999359130859
outputs/metrics/gcn_caucafall_stb_s1337.json,gcn,caucafall,1337,op3,0.9753241022148438,0.5714285714285715,0.4,1.0,0.0,0.7399999499320984,0.5771999359130859
outputs/metrics/gcn_caucafall_stb_s17.json,gcn,caucafall,17,op1,0.9700689874787912,0.888888888888889,0.8,1.0,0.0,0.85999995470047,0.670799970626831
outputs/metrics/gcn_caucafall_stb_s17.json,gcn,caucafall,17,op2,0.9700689874787912,0.888888888888889,0.8,1.0,0.0,0.85999995470047,0.670799970626831
outputs/metrics/gcn_caucafall_stb_s17.json,gcn,caucafall,17,op3,0.9700689874787912,0.888888888888889,0.8,1.0,0.0,0.85999995470047,0.670799970626831
outputs/metrics/gcn_caucafall_stb_s2025.json,gcn,caucafall,2025,op1,0.9719348256586124,0.5714285714285715,0.4,1.0,0.0,0.9199999570846558,0.7175999879837036
outputs/metrics/gcn_caucafall_stb_s2025.json,gcn,caucafall,2025,op2,0.9719348256586124,0.5714285714285715,0.4,1.0,0.0,0.9199999570846558,0.7175999879837036
outputs/metrics/gcn_caucafall_stb_s2025.json,gcn,caucafall,2025,op3,0.9719348256586124,0.5714285714285715,0.4,1.0,0.0,0.9199999570846558,0.7175999879837036
outputs/metrics/gcn_caucafall_stb_s33724876.json,gcn,caucafall,33724876,op1,0.9811796596693898,0.5714285714285715,0.4,1.0,0.0,0.8799999952316284,0.6863999962806702
outputs/metrics/gcn_caucafall_stb_s33724876.json,gcn,caucafall,33724876,op2,0.9811796596693898,0.5714285714285715,0.4,1.0,0.0,0.8799999952316284,0.6863999962806702
outputs/metrics/gcn_caucafall_stb_s33724876.json,gcn,caucafall,33724876,op3,0.9811796596693898,0.5714285714285715,0.4,1.0,0.0,0.8799999952316284,0.6863999962806702
outputs/metrics/gcn_caucafall_stb_s42.json,gcn,caucafall,42,op1,0.9543391910097069,0.33333333333333337,0.2,1.0,0.0,0.7299999594688416,0.5693999528884888
outputs/metrics/gcn_caucafall_stb_s42.json,gcn,caucafall,42,op2,0.9543391910097069,0.33333333333333337,0.2,1.0,0.0,0.7299999594688416,0.5693999528884888
outputs/metrics/gcn_caucafall_stb_s42.json,gcn,caucafall,42,op3,0.9543391910097069,0.33333333333333337,0.2,1.0,0.0,0.7299999594688416,0.5693999528884888
outputs/metrics/gcn_le2i_stb_s1337.json,gcn,le2i,1337,op1,0.7802506796627708,0.75,0.6666666666666666,0.8571428571428571,581.5843243262096,0.5899999737739563,0.4601999819278717
outputs/metrics/gcn_le2i_stb_s1337.json,gcn,le2i,1337,op2,0.7802506796627708,0.75,0.6666666666666666,0.8571428571428571,581.5843243262096,0.5899999737739563,0.4601999819278717
outputs/metrics/gcn_le2i_stb_s1337.json,gcn,le2i,1337,op3,0.7802506796627708,0.6250000000000001,0.5555555555555556,0.7142857142857143,1163.1686486524193,0.6200000047683716,0.483599990606308
outputs/metrics/gcn_le2i_stb_s17.json,gcn,le2i,17,op1,0.7532712213180742,0.75,0.6666666666666666,0.8571428571428571,581.5843243262096,0.44999998807907104,0.35099998116493225
outputs/metrics/gcn_le2i_stb_s17.json,gcn,le2i,17,op2,0.7532712213180742,0.75,0.6666666666666666,0.8571428571428571,581.5843243262096,0.44999998807907104,0.35099998116493225
outputs/metrics/gcn_le2i_stb_s17.json,gcn,le2i,17,op3,0.7532712213180742,0.75,0.6666666666666666,0.8571428571428571,581.5843243262096,0.4899999797344208,0.3821999728679657
outputs/metrics/gcn_le2i_stb_s2025.json,gcn,le2i,2025,op1,0.687049511792039,0.75,0.6666666666666666,0.8571428571428571,581.5843243262096,0.5199999809265137,0.405599981546402
outputs/metrics/gcn_le2i_stb_s2025.json,gcn,le2i,2025,op2,0.687049511792039,0.75,0.6666666666666666,0.8571428571428571,581.5843243262096,0.5199999809265137,0.405599981546402
outputs/metrics/gcn_le2i_stb_s2025.json,gcn,le2i,2025,op3,0.687049511792039,0.5714285714285714,0.4444444444444444,0.8,581.5843243262096,0.5799999833106995,0.45239999890327454
outputs/metrics/gcn_le2i_stb_s33724876.json,gcn,le2i,33724876,op1,0.7523456617469939,0.75,0.6666666666666666,0.8571428571428571,581.5843243262096,0.5399999618530273,0.4211999773979187
outputs/metrics/gcn_le2i_stb_s33724876.json,gcn,le2i,33724876,op2,0.7523456617469939,0.75,0.6666666666666666,0.8571428571428571,581.5843243262096,0.5399999618530273,0.4211999773979187
outputs/metrics/gcn_le2i_stb_s33724876.json,gcn,le2i,33724876,op3,0.7523456617469939,0.6666666666666667,0.5555555555555556,0.8333333333333334,581.5843243262096,0.5999999642372131,0.46799996495246887
outputs/metrics/gcn_le2i_stb_s42.json,gcn,le2i,42,op1,0.7626846750561529,0.75,0.6666666666666666,0.8571428571428571,581.5843243262096,0.5899999737739563,0.4601999819278717
outputs/metrics/gcn_le2i_stb_s42.json,gcn,le2i,42,op2,0.7626846750561529,0.75,0.6666666666666666,0.8571428571428571,581.5843243262096,0.5899999737739563,0.4601999819278717
outputs/metrics/gcn_le2i_stb_s42.json,gcn,le2i,42,op3,0.7626846750561529,0.5714285714285714,0.4444444444444444,0.8,581.5843243262096,0.6200000047683716,0.483599990606308
outputs/metrics/tcn_caucafall_stb_s1337.json,tcn,caucafall,1337,op1,0.9787149536465457,0.7499999999999999,0.6,1.0,0.0,0.85999995470047,0.670799970626831
outputs/metrics/tcn_caucafall_stb_s1337.json,tcn,caucafall,1337,op2,0.9787149536465457,0.7499999999999999,0.6,1.0,0.0,0.85999995470047,0.670799970626831
outputs/metrics/tcn_caucafall_stb_s1337.json,tcn,caucafall,1337,op3,0.9787149536465457,0.7499999999999999,0.6,1.0,0.0,0.85999995470047,0.670799970626831
outputs/metrics/tcn_caucafall_stb_s17.json,tcn,caucafall,17,op1,0.9836126798522898,0.888888888888889,0.8,1.0,0.0,0.8699999451637268,0.6785999536514282
outputs/metrics/tcn_caucafall_stb_s17.json,tcn,caucafall,17,op2,0.9836126798522898,0.888888888888889,0.8,1.0,0.0,0.8699999451637268,0.6785999536514282
outputs/metrics/tcn_caucafall_stb_s17.json,tcn,caucafall,17,op3,0.9836126798522898,0.888888888888889,0.8,1.0,0.0,0.8699999451637268,0.6785999536514282
outputs/metrics/tcn_caucafall_stb_s2025.json,tcn,caucafall,2025,op1,0.9813028327850815,0.888888888888889,0.8,1.0,0.0,0.85999995470047,0.670799970626831
outputs/metrics/tcn_caucafall_stb_s2025.json,tcn,caucafall,2025,op2,0.9813028327850815,0.888888888888889,0.8,1.0,0.0,0.85999995470047,0.670799970626831
outputs/metrics/tcn_caucafall_stb_s2025.json,tcn,caucafall,2025,op3,0.9813028327850815,0.888888888888889,0.8,1.0,0.0,0.85999995470047,0.670799970626831
outputs/metrics/tcn_caucafall_stb_s33724876.json,tcn,caucafall,33724876,op1,0.9818646947415329,0.888888888888889,0.8,1.0,0.0,0.8699999451637268,0.6785999536514282
outputs/metrics/tcn_caucafall_stb_s33724876.json,tcn,caucafall,33724876,op2,0.9818646947415329,0.888888888888889,0.8,1.0,0.0,0.8699999451637268,0.6785999536514282
outputs/metrics/tcn_caucafall_stb_s33724876.json,tcn,caucafall,33724876,op3,0.9818646947415329,0.888888888888889,0.8,1.0,0.0,0.8699999451637268,0.6785999536514282
outputs/metrics/tcn_caucafall_stb_s42.json,tcn,caucafall,42,op1,0.983996882574308,0.888888888888889,0.8,1.0,0.0,0.8699999451637268,0.6785999536514282
outputs/metrics/tcn_caucafall_stb_s42.json,tcn,caucafall,42,op2,0.983996882574308,0.888888888888889,0.8,1.0,0.0,0.8699999451637268,0.6785999536514282
outputs/metrics/tcn_caucafall_stb_s42.json,tcn,caucafall,42,op3,0.983996882574308,0.888888888888889,0.8,1.0,0.0,0.8699999451637268,0.6785999536514282
outputs/metrics/tcn_le2i_stb_s1337.json,tcn,le2i,1337,op1,0.8481212830879076,0.823529411764706,0.7777777777777778,0.875,581.5843243262096,0.5799999833106995,0.45239999890327454
outputs/metrics/tcn_le2i_stb_s1337.json,tcn,le2i,1337,op2,0.8481212830879076,0.823529411764706,0.7777777777777778,0.875,581.5843243262096,0.5799999833106995,0.45239999890327454
outputs/metrics/tcn_le2i_stb_s1337.json,tcn,le2i,1337,op3,0.8481212830879076,0.3333333333333333,0.2222222222222222,0.6666666666666666,581.5843243262096,0.7099999785423279,0.5537999868392944
outputs/metrics/tcn_le2i_stb_s17.json,tcn,le2i,17,op1,0.8385741432857825,0.823529411764706,0.7777777777777778,0.875,581.5843243262096,0.5799999833106995,0.45239999890327454
outputs/metrics/tcn_le2i_stb_s17.json,tcn,le2i,17,op2,0.8385741432857825,0.823529411764706,0.7777777777777778,0.875,581.5843243262096,0.5799999833106995,0.45239999890327454
outputs/metrics/tcn_le2i_stb_s17.json,tcn,le2i,17,op3,0.8385741432857825,0.5333333333333333,0.4444444444444444,0.6666666666666666,1163.1686486524193,0.6799999475479126,0.5303999781608582
outputs/metrics/tcn_le2i_stb_s2025.json,tcn,le2i,2025,op1,0.8477090978092455,0.823529411764706,0.7777777777777778,0.875,581.5843243262096,0.60999995470047,0.4757999777793884
outputs/metrics/tcn_le2i_stb_s2025.json,tcn,le2i,2025,op2,0.8477090978092455,0.823529411764706,0.7777777777777778,0.875,581.5843243262096,0.60999995470047,0.4757999777793884
outputs/metrics/tcn_le2i_stb_s2025.json,tcn,le2i,2025,op3,0.8477090978092455,0.42857142857142855,0.3333333333333333,0.6,1163.1686486524193,0.7299999594688416,0.5693999528884888
outputs/metrics/tcn_le2i_stb_s33724876.json,tcn,le2i,33724876,op1,0.854059234461485,0.823529411764706,0.7777777777777778,0.875,581.5843243262096,0.5600000023841858,0.4368000030517578
outputs/metrics/tcn_le2i_stb_s33724876.json,tcn,le2i,33724876,op2,0.854059234461485,0.823529411764706,0.7777777777777778,0.875,581.5843243262096,0.5600000023841858,0.4368000030517578
outputs/metrics/tcn_le2i_stb_s33724876.json,tcn,le2i,33724876,op3,0.854059234461485,0.6666666666666667,0.5555555555555556,0.8333333333333334,581.5843243262096,0.6399999856948853,0.4991999864578247
outputs/metrics/tcn_le2i_stb_s42.json,tcn,le2i,42,op1,0.8060585973464173,0.823529411764706,0.7777777777777778,0.875,581.5843243262096,0.60999995470047,0.4757999777793884
outputs/metrics/tcn_le2i_stb_s42.json,tcn,le2i,42,op2,0.8060585973464173,0.823529411764706,0.7777777777777778,0.875,581.5843243262096,0.60999995470047,0.4757999777793884
outputs/metrics/tcn_le2i_stb_s42.json,tcn,le2i,42,op3,0.8060585973464173,0.26666666666666666,0.2222222222222222,0.3333333333333333,2326.3372973048386,0.7199999690055847,0.5615999698638916
