tag,phase,tau_high,tau_low,confirm,confirm_s,confirm_min_lying,confirm_max_motion,recall,precision,f1,fa24h,tp,fp
p1_th0360,p1,0.36,0.2808,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,9,0
p1_th0400,p1,0.4,0.31200000000000006,0,0.0,0.0,0.0,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0
p1_th0460,p1,0.46,0.3588,0,0.0,0.0,0.0,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0
p1_th0520,p1,0.52,0.4056,0,0.0,0.0,0.0,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0
p1_th0280,p1,0.28,0.21840000000000004,0,0.0,0.0,0.0,0.8888888888888888,0.8,0.8421052631578948,1163.1686486524193,8,2
p1_th0320,p1,0.32,0.24960000000000002,0,0.0,0.0,0.0,0.8888888888888888,0.8,0.8421052631578948,1163.1686486524193,8,2
p1_th0240,p1,0.24,0.1872,0,0.0,0.0,0.0,0.8888888888888888,0.7272727272727273,0.7999999999999999,1744.752972978629,8,3
p1_th0160,p1,0.16,0.12480000000000001,0,0.0,0.0,0.0,0.7777777777777778,0.6363636363636364,0.7000000000000001,2326.3372973048386,7,4
p1_th0200,p1,0.2,0.15600000000000003,0,0.0,0.0,0.0,0.7777777777777778,0.6363636363636364,0.7000000000000001,2326.3372973048386,7,4
p1_th0120,p1,0.12,0.0936,0,0.0,0.0,0.0,0.7777777777777778,0.5384615384615384,0.6363636363636364,3489.505945957258,7,6
p2_th0360_cs040_ly35_mm10,p2,0.36,0.2808,1,0.4,0.35,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs040_ly35_mm12,p2,0.36,0.2808,1,0.4,0.35,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs040_ly35_mm15,p2,0.36,0.2808,1,0.4,0.35,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs040_ly45_mm10,p2,0.36,0.2808,1,0.4,0.45,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs040_ly45_mm12,p2,0.36,0.2808,1,0.4,0.45,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs040_ly45_mm15,p2,0.36,0.2808,1,0.4,0.45,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs040_ly55_mm10,p2,0.36,0.2808,1,0.4,0.55,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs040_ly55_mm12,p2,0.36,0.2808,1,0.4,0.55,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs040_ly55_mm15,p2,0.36,0.2808,1,0.4,0.55,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs040_ly65_mm10,p2,0.36,0.2808,1,0.4,0.65,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs040_ly65_mm12,p2,0.36,0.2808,1,0.4,0.65,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs040_ly65_mm15,p2,0.36,0.2808,1,0.4,0.65,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs060_ly35_mm10,p2,0.36,0.2808,1,0.6,0.35,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs060_ly35_mm12,p2,0.36,0.2808,1,0.6,0.35,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs060_ly35_mm15,p2,0.36,0.2808,1,0.6,0.35,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs060_ly45_mm10,p2,0.36,0.2808,1,0.6,0.45,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs060_ly45_mm12,p2,0.36,0.2808,1,0.6,0.45,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs060_ly45_mm15,p2,0.36,0.2808,1,0.6,0.45,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs060_ly55_mm10,p2,0.36,0.2808,1,0.6,0.55,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs060_ly55_mm12,p2,0.36,0.2808,1,0.6,0.55,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs060_ly55_mm15,p2,0.36,0.2808,1,0.6,0.55,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs060_ly65_mm10,p2,0.36,0.2808,1,0.6,0.65,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs060_ly65_mm12,p2,0.36,0.2808,1,0.6,0.65,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs060_ly65_mm15,p2,0.36,0.2808,1,0.6,0.65,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs080_ly35_mm10,p2,0.36,0.2808,1,0.8,0.35,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs080_ly35_mm12,p2,0.36,0.2808,1,0.8,0.35,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs080_ly35_mm15,p2,0.36,0.2808,1,0.8,0.35,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs080_ly45_mm10,p2,0.36,0.2808,1,0.8,0.45,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs080_ly45_mm12,p2,0.36,0.2808,1,0.8,0.45,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs080_ly45_mm15,p2,0.36,0.2808,1,0.8,0.45,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs080_ly55_mm10,p2,0.36,0.2808,1,0.8,0.55,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs080_ly55_mm12,p2,0.36,0.2808,1,0.8,0.55,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs080_ly55_mm15,p2,0.36,0.2808,1,0.8,0.55,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs080_ly65_mm10,p2,0.36,0.2808,1,0.8,0.65,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs080_ly65_mm12,p2,0.36,0.2808,1,0.8,0.65,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs080_ly65_mm15,p2,0.36,0.2808,1,0.8,0.65,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs100_ly35_mm10,p2,0.36,0.2808,1,1.0,0.35,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs100_ly35_mm12,p2,0.36,0.2808,1,1.0,0.35,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs100_ly35_mm15,p2,0.36,0.2808,1,1.0,0.35,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs100_ly45_mm10,p2,0.36,0.2808,1,1.0,0.45,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs100_ly45_mm12,p2,0.36,0.2808,1,1.0,0.45,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs100_ly45_mm15,p2,0.36,0.2808,1,1.0,0.45,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs100_ly55_mm10,p2,0.36,0.2808,1,1.0,0.55,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs100_ly55_mm12,p2,0.36,0.2808,1,1.0,0.55,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs100_ly55_mm15,p2,0.36,0.2808,1,1.0,0.55,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs100_ly65_mm10,p2,0.36,0.2808,1,1.0,0.65,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs100_ly65_mm12,p2,0.36,0.2808,1,1.0,0.65,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs100_ly65_mm15,p2,0.36,0.2808,1,1.0,0.65,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs120_ly35_mm10,p2,0.36,0.2808,1,1.2,0.35,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs120_ly35_mm12,p2,0.36,0.2808,1,1.2,0.35,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs120_ly35_mm15,p2,0.36,0.2808,1,1.2,0.35,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs120_ly45_mm10,p2,0.36,0.2808,1,1.2,0.45,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs120_ly45_mm12,p2,0.36,0.2808,1,1.2,0.45,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs120_ly45_mm15,p2,0.36,0.2808,1,1.2,0.45,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs120_ly55_mm10,p2,0.36,0.2808,1,1.2,0.55,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs120_ly55_mm12,p2,0.36,0.2808,1,1.2,0.55,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs120_ly55_mm15,p2,0.36,0.2808,1,1.2,0.55,0.15,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs120_ly65_mm10,p2,0.36,0.2808,1,1.2,0.65,0.1,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs120_ly65_mm12,p2,0.36,0.2808,1,1.2,0.65,0.12,0.0,0.0,0.0,0.0,0,0
p2_th0360_cs120_ly65_mm15,p2,0.36,0.2808,1,1.2,0.65,0.15,0.0,0.0,0.0,0.0,0,0
